utr_number,deposit_amount,deposit_date,description,bank_ref
UTR1EIUM4CC,7631.73,2026-08-21,RAZORPAY SETTLEMENT setl_001,REF_EVE2JWWD
UTR947WKG4S,5625.98,2026-08-21,RAZORPAY SETTLEMENT setl_002 PART1,REF_KGPAX7DR
UTRJ9NISVG0,3750.65,2026-08-22,RAZORPAY SETTLEMENT setl_002 PART2,REF_LOSUUMYS
UTRIGMG55CT,16924.26,2026-08-22,RAZORPAY SETTLEMENT setl_003,REF_9DNGUJ7X
UTR9RU7GTNT,16722.11,2026-08-21,RAZORPAY SETTLEMENT setl_004,REF_XLRZ2GW8
UTRVTDJ91HF,13973.03,2026-08-21,RAZORPAY SETTLEMENT setl_005,REF_HFB5RDP8
UTRRYGH0SE3,11508.62,2026-08-21,RAZORPAY SETTLEMENT setl_006,REF_IJ5MW0D5
UTR0K7JRJ12,5851.09,2026-08-21,RAZORPAY SETTLEMENT setl_007 PART1,REF_PLFSHTCW
UTRGG7UA66J,3900.72,2026-08-22,RAZORPAY SETTLEMENT setl_007 PART2,REF_J36ASJGL
UTRSV0FI26S,8784.09,2026-08-21,RAZORPAY SETTLEMENT setl_008,REF_7OPJECSU
UTR85TP5NYK,17408.21,2026-08-21,RAZORPAY SETTLEMENT setl_009,REF_IQ1PTF2H
UTR2R918B9Y,9777.72,2026-08-22,RAZORPAY SETTLEMENT setl_010,REF_2N70MO0E
UTROUV7EVJU,11477.84,2026-08-22,RAZORPAY SETTLEMENT setl_011,REF_B9S5QR0J
UTRYAF2BWI7,8523.91,2026-08-22,RAZORPAY SETTLEMENT setl_012,REF_K3Y529U5
UTR50B4IMIF,10912.35,2026-08-21,RAZORPAY SETTLEMENT setl_013,REF_MZXH9FPT
UTRLLJZ41DH,10780.8,2026-08-22,RAZORPAY SETTLEMENT setl_014,REF_FPJDNK5D
UTRCYM9OEXL,8959.85,2026-08-21,RAZORPAY SETTLEMENT setl_015,REF_XXE0KV86
UTR8W6NP8B0,14125.7,2026-08-22,RAZORPAY SETTLEMENT setl_016,REF_1RJZX5RY
UTRR2JOIYS2,8677.16,2026-08-22,RAZORPAY SETTLEMENT setl_017,REF_845CCZ5Z
UTR6GCP4PLP,7844.69,2026-08-21,RAZORPAY SETTLEMENT setl_018,REF_J7YXGVAO
UTRN0OOJBJ2,7185.28,2026-08-22,RAZORPAY SETTLEMENT setl_019 PART1,REF_HMWVK6RX
UTRNF0CS5P6,4790.18,2026-08-23,RAZORPAY SETTLEMENT setl_019 PART2,REF_VQZVEVC7
UTRIC1377L6,12199.92,2026-08-21,RAZORPAY SETTLEMENT setl_020,REF_FGMF992R
UTRFSTY5PHO,21565.24,2026-08-22,RAZORPAY SETTLEMENT setl_021,REF_YXLFGOHO
UTRBMSJ9ISB,15434.34,2026-08-21,RAZORPAY SETTLEMENT setl_022,REF_BLHXHI06
UTRU0904AVA,9580.11,2026-08-22,RAZORPAY SETTLEMENT setl_023,REF_9XKYWAL0
UTRX0DAWHG2,8235.62,2026-08-22,RAZORPAY SETTLEMENT setl_024,REF_CQJ7O1PM
UTRDORH8GQ0,7629.09,2026-08-22,RAZORPAY SETTLEMENT setl_025 PART1,REF_D43SECGW
UTRFIFNU7YU,5086.06,2026-08-23,RAZORPAY SETTLEMENT setl_025 PART2,REF_SEDMDV7B
UTRV5VDEOUD,12367.29,2026-08-22,RAZORPAY SETTLEMENT setl_026,REF_IVQNYHDB
UTRL0H3YV9S,14112.33,2026-08-22,RAZORPAY SETTLEMENT setl_027,REF_VLP8PXDD
UTRUCM1EWLN,12075.53,2026-08-22,RAZORPAY SETTLEMENT setl_028,REF_D7HOQYQY
UTRYH84DXEU,11346.96,2026-08-21,RAZORPAY SETTLEMENT setl_029,REF_ZFL4JXID
UTRXIGPBKFX,10544.48,2026-08-22,RAZORPAY SETTLEMENT setl_030,REF_D09WUAU2
UTRZ73APMRA,12566.34,2026-08-22,RAZORPAY SETTLEMENT setl_031,REF_SJYXNBWX
UTRWBTFJDML,14513.57,2026-08-22,RAZORPAY SETTLEMENT setl_032,REF_WV7QNLOR
UTRTM1FERVR,15074.06,2026-08-21,RAZORPAY SETTLEMENT setl_033,REF_22O4KP8K
UTRH5B66IVH,5692.91,2026-08-22,RAZORPAY SETTLEMENT setl_034 PART1,REF_23I3NYDQ
UTRTIXN9I18,3795.27,2026-08-23,RAZORPAY SETTLEMENT setl_034 PART2,REF_LH2KMSP5
UTRKW9U47XG,9702.6,2026-08-22,RAZORPAY SETTLEMENT setl_035,REF_19N7EBYY
UTR86NZB1FU,12207.96,2026-08-21,RAZORPAY SETTLEMENT setl_036,REF_8A5W5NJL
UTRM0T2QUSV,12642.16,2026-08-22,RAZORPAY SETTLEMENT setl_037,REF_9UGVYBQS
UTRJZKGULBG,11368.41,2026-08-22,RAZORPAY SETTLEMENT setl_038,REF_TUJS8O3P
UTR5UMKUAAW,9084.02,2026-08-22,RAZORPAY SETTLEMENT setl_039 PART1,REF_AW62VGEW
UTRB5XV5SIO,6056.02,2026-08-23,RAZORPAY SETTLEMENT setl_039 PART2,REF_Q4YGARFP
UTR7EESPKYA,14102.73,2026-08-22,RAZORPAY SETTLEMENT setl_040,REF_2I37FJ72
UTRKPT65MAY,10349.08,2026-08-22,RAZORPAY SETTLEMENT setl_041,REF_Q4S3G4I7
UTRD3YW5CUE,18513.63,2026-08-21,RAZORPAY SETTLEMENT setl_042,REF_YP52OGX2
