order_id,injected_anomaly_type
ORD_1001,NONE
ORD_1002,NONE
ORD_1003,NONE
ORD_1004,TIMING_MISMATCH
ORD_1005,PARTIAL_REFUND
ORD_1006,NONE
ORD_1007,NONE
ORD_1008,NONE
ORD_1009,NONE
ORD_1010,NONE
ORD_1011,NONE
ORD_1012,NONE
ORD_1013,NONE
ORD_1014,SPLIT_SETTLEMENT
ORD_1015,NONE
ORD_1016,NONE
ORD_1017,NONE
ORD_1018,DUPLICATE_PAYMENT
ORD_1019,NONE
ORD_1020,NONE
ORD_1021,NONE
ORD_1022,NONE
ORD_1023,NONE
ORD_1024,NONE
ORD_1025,NONE
ORD_1026,NONE
ORD_1027,MISSING_RECORD
ORD_1028,NONE
ORD_1029,NONE
ORD_1030,FEE_DISCREPANCY
ORD_1031,NONE
ORD_1032,NONE
ORD_1033,NONE
ORD_1034,NONE
ORD_1035,NONE
ORD_1036,NONE
ORD_1037,NONE
ORD_1038,NONE
ORD_1039,NONE
ORD_1040,NONE
ORD_1041,NONE
ORD_1042,NONE
ORD_1043,NONE
ORD_1044,NONE
ORD_1045,NONE
ORD_1046,NONE
ORD_1047,NONE
ORD_1048,NONE
ORD_1049,NONE
ORD_1050,NONE
ORD_1051,NONE
ORD_1052,NONE
ORD_1053,NONE
ORD_1054,TIMING_MISMATCH
ORD_1055,NONE
ORD_1056,NONE
ORD_1057,NONE
ORD_1058,NONE
ORD_1059,PARTIAL_REFUND
ORD_1060,NONE
ORD_1061,NONE
ORD_1062,NONE
ORD_1063,NONE
ORD_1064,NONE
ORD_1065,SPLIT_SETTLEMENT
ORD_1066,NONE
ORD_1067,NONE
ORD_1068,NONE
ORD_1069,NONE
ORD_1070,NONE
ORD_1071,NONE
ORD_1072,NONE
ORD_1073,NONE
ORD_1074,NONE
ORD_1075,NONE
ORD_1076,NONE
ORD_1077,DUPLICATE_PAYMENT
ORD_1078,NONE
ORD_1079,NONE
ORD_1080,MISSING_RECORD
ORD_1081,NONE
ORD_1082,NONE
ORD_1083,NONE
ORD_1084,NONE
ORD_1085,NONE
ORD_1086,NONE
ORD_1087,NONE
ORD_1088,NONE
ORD_1089,NONE
ORD_1090,NONE
ORD_1091,NONE
ORD_1092,NONE
ORD_1093,NONE
ORD_1094,NONE
ORD_1095,FEE_DISCREPANCY
ORD_1096,NONE
ORD_1097,NONE
ORD_1098,NONE
ORD_1099,NONE
ORD_1100,NONE
ORD_1101,NONE
ORD_1102,NONE
ORD_1103,NONE
ORD_1104,NONE
ORD_1105,NONE
ORD_1106,NONE
ORD_1107,NONE
ORD_1108,NONE
ORD_1109,NONE
ORD_1110,NONE
ORD_1111,NONE
ORD_1112,NONE
ORD_1113,NONE
ORD_1114,NONE
ORD_1115,NONE
ORD_1116,NONE
ORD_1117,NONE
ORD_1118,NONE
ORD_1119,NONE
ORD_1120,NONE
ORD_1121,TIMING_MISMATCH
ORD_1122,NONE
ORD_1123,NONE
ORD_1124,NONE
ORD_1125,NONE
ORD_1126,NONE
ORD_1127,NONE
ORD_1128,NONE
ORD_1129,NONE
ORD_1130,NONE
ORD_1131,NONE
ORD_1132,NONE
ORD_1133,NONE
ORD_1134,NONE
ORD_1135,NONE
ORD_1136,NONE
ORD_1137,NONE
ORD_1138,NONE
ORD_1139,NONE
ORD_1140,NONE
ORD_1141,NONE
ORD_1142,NONE
ORD_1143,NONE
ORD_1144,NONE
ORD_1145,NONE
ORD_1146,NONE
ORD_1147,NONE
ORD_1148,NONE
ORD_1149,NONE
ORD_1150,NONE
ORD_1151,NONE
ORD_1152,NONE
ORD_1153,NONE
ORD_1154,NONE
ORD_1155,NONE
