payment_id,order_id,amount,fee,tax,net_amount,settlement_id,payment_date,settlement_date,status
pay_H2ZQU7EE,ORD_1001,538.27,10.77,1.94,525.56,setl_001,2026-08-20 20:53:00,2026-08-21,captured
pay_WZS3T60R,ORD_1002,2547.79,50.96,9.17,2487.66,setl_001,2026-08-21 03:52:00,2026-08-22,captured
pay_JCKJLTEI,ORD_1003,1232.99,24.66,4.44,1203.89,setl_001,2026-08-21 08:42:00,2026-08-22,captured
pay_C3O18A5U,ORD_1004,355.42,7.11,1.28,347.03,setl_001,2026-08-21 23:59:00,2026-08-23,captured
pay_T026RJRN,ORD_1005,543.27,10.87,1.96,421.79,setl_001,2026-08-21 05:58:00,2026-08-22,captured
pay_VXDP5GJL,ORD_1006,1833.05,36.66,6.6,1789.79,setl_001,2026-08-20 18:02:00,2026-08-21,captured
pay_JCAT9MX2,ORD_1007,332.75,6.66,1.2,324.89,setl_001,2026-08-21 01:52:00,2026-08-22,captured
pay_IRE8QJNV,ORD_1008,543.96,10.88,1.96,531.12,setl_001,2026-08-20 17:41:00,2026-08-21,captured
pay_U6N7HV3I,ORD_1009,1845.47,36.91,6.64,1801.92,setl_002,2026-08-20 18:02:00,2026-08-21,captured
pay_PNSM43D8,ORD_1010,1529.55,30.59,5.51,1493.45,setl_002,2026-08-20 18:27:00,2026-08-21,captured
pay_1Q3VLI7K,ORD_1011,292.55,5.85,1.05,285.65,setl_002,2026-08-21 01:44:00,2026-08-22,captured
pay_RLRMJKV5,ORD_1012,1224.05,24.48,4.41,1195.16,setl_002,2026-08-21 05:22:00,2026-08-22,captured
pay_R1YXR2DH,ORD_1013,500.66,10.01,1.8,488.85,setl_002,2026-08-20 19:19:00,2026-08-21,captured
pay_M9TMQLIZ,ORD_1014,215.4,4.31,0.78,210.31,setl_002,2026-08-21 08:40:00,2026-08-22,captured
pay_0JV1V93K,ORD_1015,923.29,18.47,3.32,901.5,setl_002,2026-08-20 22:14:00,2026-08-21,captured
pay_9TZE5R5U,ORD_1016,1779.23,35.58,6.4,1737.25,setl_002,2026-08-20 21:18:00,2026-08-21,captured
pay_ECRUYF38,ORD_1017,1293.05,25.86,4.65,1262.54,setl_002,2026-08-20 18:20:00,2026-08-21,captured
pay_2ISQP49K,ORD_1018,1160.85,23.22,4.18,1133.45,setl_003,2026-08-21 06:43:30,2026-08-22,captured
pay_WV08HHXF,ORD_1018,1160.85,23.22,4.18,1133.45,setl_003,2026-08-21 06:43:00,2026-08-22,captured
pay_QBKK4CIJ,ORD_1019,3456.51,69.13,12.44,3374.94,setl_003,2026-08-21 06:33:00,2026-08-22,captured
pay_63CFL0UK,ORD_1020,391.51,7.83,1.41,382.27,setl_003,2026-08-21 00:43:00,2026-08-22,captured
pay_TPV60VAI,ORD_1021,717.87,14.36,2.58,700.93,setl_003,2026-08-21 05:22:00,2026-08-22,captured
pay_1GSPK9P3,ORD_1022,1944.08,38.88,7.0,1898.2,setl_003,2026-08-21 01:37:00,2026-08-22,captured
pay_4LYK83TQ,ORD_1023,1283.8,25.68,4.62,1253.5,setl_003,2026-08-21 03:43:00,2026-08-22,captured
pay_3A5QBSWR,ORD_1024,231.33,4.63,0.83,225.87,setl_003,2026-08-21 06:00:00,2026-08-22,captured
pay_PZE9VIFT,ORD_1025,2969.36,59.39,10.69,2899.28,setl_003,2026-08-20 22:02:00,2026-08-21,captured
pay_RZSJ49IT,ORD_1026,1558.32,31.17,5.61,1521.54,setl_003,2026-08-21 07:09:00,2026-08-22,captured
pay_JA04UX5Q,ORD_1028,1476.62,29.53,5.32,1441.77,setl_003,2026-08-21 04:04:00,2026-08-22,captured
pay_59IN4OLR,ORD_1029,982.24,19.64,3.54,959.06,setl_003,2026-08-21 05:32:00,2026-08-22,captured
pay_E8LD4D6A,ORD_1030,497.84,11.75,2.11,483.98,setl_004,2026-08-20 21:32:00,2026-08-21,captured
pay_MYX444NL,ORD_1031,1636.09,32.72,5.89,1597.48,setl_004,2026-08-20 19:33:00,2026-08-21,captured
pay_90PDW5PY,ORD_1032,3452.59,69.05,12.43,3371.11,setl_004,2026-08-21 00:43:00,2026-08-22,captured
pay_PIOYGGVN,ORD_1033,2981.44,59.63,10.73,2911.08,setl_004,2026-08-21 02:25:00,2026-08-22,captured
pay_QY6QKTC8,ORD_1034,1340.28,26.81,4.83,1308.64,setl_004,2026-08-21 00:32:00,2026-08-22,captured
pay_HNRIUU9K,ORD_1035,212.89,4.26,0.77,207.86,setl_004,2026-08-21 01:32:00,2026-08-22,captured
pay_0361I2HG,ORD_1036,199.81,4.0,0.72,195.09,setl_004,2026-08-20 19:03:00,2026-08-21,captured
pay_BNE6LOH2,ORD_1037,311.82,6.24,1.12,304.46,setl_004,2026-08-20 18:23:00,2026-08-21,captured
pay_8K52QC1I,ORD_1038,2499.18,49.98,9.0,2440.2,setl_004,2026-08-20 22:20:00,2026-08-21,captured
pay_EN0JNWNY,ORD_1039,3485.58,69.71,12.55,3403.32,setl_004,2026-08-20 17:21:00,2026-08-21,captured
pay_HC36KOF8,ORD_1040,510.95,10.22,1.84,498.89,setl_004,2026-08-21 04:03:00,2026-08-22,captured
pay_N8ZTV05X,ORD_1041,1260.61,25.21,4.54,1230.86,setl_005,2026-08-20 21:28:00,2026-08-21,captured
pay_HQIN9N6X,ORD_1042,1489.81,29.8,5.36,1454.65,setl_005,2026-08-20 18:47:00,2026-08-21,captured
pay_XVA2IEUC,ORD_1043,426.59,8.53,1.54,416.52,setl_005,2026-08-21 07:07:00,2026-08-22,captured
pay_2VJ99T2D,ORD_1044,407.64,8.15,1.47,398.02,setl_005,2026-08-21 03:51:00,2026-08-22,captured
pay_JEPECQNV,ORD_1045,250.49,5.01,0.9,244.58,setl_005,2026-08-21 03:03:00,2026-08-22,captured
pay_KXB94PDZ,ORD_1046,2471.15,49.42,8.9,2412.83,setl_005,2026-08-20 18:51:00,2026-08-21,captured
pay_JWTL9TQV,ORD_1047,1538.93,30.78,5.54,1502.61,setl_005,2026-08-20 21:06:00,2026-08-21,captured
pay_5O3O0LLJ,ORD_1048,934.28,18.69,3.36,912.23,setl_005,2026-08-20 23:31:00,2026-08-21,captured
pay_0NEC8UYO,ORD_1049,1255.71,25.11,4.52,1226.08,setl_005,2026-08-20 19:28:00,2026-08-21,captured
pay_UHXID4N1,ORD_1050,3045.84,60.92,10.97,2973.95,setl_005,2026-08-21 02:23:00,2026-08-22,captured
pay_BJ17MGFX,ORD_1051,1229.72,24.59,4.43,1200.7,setl_005,2026-08-20 17:41:00,2026-08-21,captured
pay_HPMNZ1UD,ORD_1052,323.1,6.46,1.16,315.48,setl_006,2026-08-20 19:52:00,2026-08-21,captured
pay_JXRPJ1EP,ORD_1053,264.74,5.29,0.95,258.5,setl_006,2026-08-20 18:44:00,2026-08-21,captured
pay_9BH811KE,ORD_1054,1897.66,37.95,6.83,1852.88,setl_006,2026-08-21 23:59:00,2026-08-23,captured
pay_43C5BA75,ORD_1055,1566.57,31.33,5.64,1529.6,setl_006,2026-08-21 00:37:00,2026-08-22,captured
pay_O8G8QYNP,ORD_1056,1606.34,32.13,5.78,1568.43,setl_006,2026-08-21 06:19:00,2026-08-22,captured
pay_0H2CWTG1,ORD_1057,1192.57,23.85,4.29,1164.43,setl_006,2026-08-20 19:28:00,2026-08-21,captured
pay_V1XG1R11,ORD_1058,272.63,5.45,0.98,266.2,setl_006,2026-08-21 01:14:00,2026-08-22,captured
pay_FCPKJCSL,ORD_1059,1913.3,38.27,6.89,1668.14,setl_006,2026-08-21 03:58:00,2026-08-22,captured
pay_WSQT26Q3,ORD_1060,2954.69,59.09,10.64,2884.96,setl_006,2026-08-20 19:42:00,2026-08-21,captured
pay_D6MZSGIP,ORD_1061,359.5,7.19,1.29,351.02,setl_007,2026-08-20 21:07:00,2026-08-21,captured
pay_N1YBWMLU,ORD_1062,2501.27,50.03,9.01,2442.23,setl_007,2026-08-21 04:26:00,2026-08-22,captured
